Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 371/7812: Reward=-767.118, SPS=158
Update 372/7812: Reward=-730.563, SPS=158
Update 373/7812: Reward=-697.154, SPS=158
Update 374/7812: Reward=-745.159, SPS=158
Update 375/7812: Reward=-750.759, SPS=158
Update 376/7812: Reward=-737.111, SPS=158
Update 377/7812: Reward=-751.558, SPS=158
Update 378/7812: Reward=-769.780, SPS=158
Update 379/7812: Reward=-746.305, SPS=158
Update 380/7812: Reward=-765.724, SPS=158
Update 381/7812: Reward=-778.012, SPS=158
Update 382/7812: Reward=-746.208, SPS=158
Update 383/7812: Reward=-735.992, SPS=158
Update 384/7812: Reward=-746.564, SPS=158
Update 385/7812: Reward=-762.383, SPS=158
Update 386/7812: Reward=-767.794, SPS=158
Update 387/7812: Reward=-729.297, SPS=158
Update 388/7812: Reward=-776.089, SPS=158
Update 389/7812: Reward=-757.175, SPS=158
Update 390/7812: Reward=-719.074, SPS=158
Update 391/7812: Reward=-728.396, SPS=158
Update 392/7812: Reward=-766.389, SPS=158
Update 393/7812: Reward=-699.312, SPS=158
Update 394/7812: Reward=-727.456, SPS=158
Update 395/7812: Reward=-759.350, SPS=158
Update 396/7812: Reward=-721.073, SPS=158
Update 397/7812: Reward=-724.637, SPS=158
Update 398/7812: Reward=-743.339, SPS=158
Update 399/7812: Reward=-761.462, SPS=158
Update 400/7812: Reward=-714.193, SPS=158
Update 401/7812: Reward=-729.977, SPS=158
Update 402/7812: Reward=-762.149, SPS=158
Update 403/7812: Reward=-723.198, SPS=158
