Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 204/7812: Reward=-308.175, SPS=159, OffWin=0.29, DefWin=0.00
Update 205/7812: Reward=-226.919, SPS=159, OffWin=0.50, DefWin=0.00
Update 206/7812: Reward=-251.428, SPS=159, OffWin=0.50, DefWin=0.00
Update 207/7812: Reward=-144.134, SPS=159, OffWin=0.60, DefWin=0.00
Update 208/7812: Reward=-268.312, SPS=160, OffWin=0.00, DefWin=0.00
Update 209/7812: Reward=-241.341, SPS=159, OffWin=0.33, DefWin=0.00
Update 210/7812: Reward=-256.877, SPS=160, OffWin=0.14, DefWin=0.00
Update 211/7812: Reward=-222.522, SPS=160, OffWin=0.33, DefWin=0.00
Update 212/7812: Reward=-140.042, SPS=160, OffWin=0.50, DefWin=0.00
Update 213/7812: Reward=-288.577, SPS=160, OffWin=0.14, DefWin=0.00
Update 214/7812: Reward=-226.559, SPS=160, OffWin=0.33, DefWin=0.00
Update 215/7812: Reward=-259.959, SPS=160, OffWin=0.25, DefWin=0.00
Update 216/7812: Reward=-230.454, SPS=160, OffWin=0.29, DefWin=0.00
Update 217/7812: Reward=-261.345, SPS=160, OffWin=0.00, DefWin=0.00
Update 218/7812: Reward=-270.585, SPS=160, OffWin=0.00, DefWin=0.00
Update 219/7812: Reward=-236.184, SPS=160, OffWin=0.50, DefWin=0.00
Update 220/7812: Reward=-177.618, SPS=160, OffWin=0.67, DefWin=0.00
Update 221/7812: Reward=-162.378, SPS=160, OffWin=0.50, DefWin=0.00
Update 222/7812: Reward=-304.651, SPS=160, OffWin=0.00, DefWin=0.00
Update 223/7812: Reward=-274.388, SPS=161, OffWin=0.00, DefWin=0.00
Update 224/7812: Reward=-187.920, SPS=161, OffWin=0.50, DefWin=0.00
Update 225/7812: Reward=-192.299, SPS=161, OffWin=0.40, DefWin=0.00
Update 226/7812: Reward=-198.036, SPS=161, OffWin=0.29, DefWin=0.00
Update 227/7812: Reward=-256.750, SPS=161, OffWin=0.00, DefWin=0.00
Update 228/7812: Reward=-229.551, SPS=161, OffWin=0.29, DefWin=0.00
Update 229/7812: Reward=-255.470, SPS=161, OffWin=0.20, DefWin=0.00
